Ethnicity,Ethnicity_type,Time,Time_type,Georgraphy,Geography_type,Gender,Gender type,Age,Age Bracket Type,Highest qualification held,Qualification_type,Value,Value_type,Numerator,Denominator,upper 95%,lower 95%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,67.40%,%,39620,58795,73.60%,61.20%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,83.40%,%,13417316,16083463,83.70%,83.10%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,77.10%,%,159648,207182,82.10%,72%
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,82.30%,%,1061372,1289778,84.10%,80.50%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,79.70%,%,400716,502633,82.80%,76.60%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,78.10%,%,340351,435774,81.60%,74.60%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,80.60%,%,1962087,2435367,81.90%,79.20%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Male,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,83%,%,15388216,18532476,83.30%,82.80%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,84%,%,5538206,6592102,84.40%,83.60%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,80.70%,%,90757,112504,86.90%,74.40%
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,72.50%,%,422229,582203,75.50%,69.50%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,78.50%,%,220539,280998,82.60%,74.30%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,71.80%,%,174352,242888,76.70%,66.90%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,74.50%,%,907877,1218593,76.60%,72.40%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 4 and above,National Qualifications Framework (NQF) level,82.50%,%,6449861,7815138,82.90%,82.10%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,79.50%,%,2108739,2651113,80.30%,78.80%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,80.50%,%,28338.5,35211,92%,69%
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,62.90%,%,86747,137919,69.50%,56.30%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,69.60%,%,60326,86715,78.30%,60.90%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,63.30%,%,25336.5,39999,76.30%,50.40%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,67%,%,200748,299844,71.50%,62.40%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 3,National Qualifications Framework (NQF) level,78.20%,%,2309935,2952307,79%,77.50%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,72%,%,2100681,2918092,72.70%,71.20%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,64.90%,%,27581.5,42499,77.10%,52.70%
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,49%,%,62300,127192,56%,42%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,65.30%,%,48359,74094,74.60%,56%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,58.10%,%,16820.5,28936,73.10%,43.20%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,56.90%,%,155061,272721,61.70%,52%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Level 2,National Qualifications Framework (NQF) level,70.70%,%,2257420,3193807,71.40%,69.90%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,64.50%,%,1186112,1838983,65.50%,63.50%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,39.50%,%,41756,105612,47.10%,31.90%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,59.10%,%,30864,52267,70.20%,47.90%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,46.20%,%,94621,204922,51.70%,40.60%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Below Level 2,National Qualifications Framework (NQF) level,62.70%,%,1281210,2044768,63.60%,61.70%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,71%,%,586945,826217,72.50%,69.60%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,49.10%,%,75516,153708,55.40%,42.90%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,52.30%,%,30982,59267,62.90%,41.70%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,52.50%,%,37305,71078,61.90%,43%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,50.60%,%,148481,293487,55.20%,46%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Other qualifications,National Qualifications Framework (NQF) level,65.70%,%,735976,1120598,67%,64.30%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,39.50%,%,468328,1185238,40.70%,38.30%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,18.50%,%,32233,174377,23%,14%
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,33.60%,%,17932,53378,43.80%,23.40%
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,28.20%,%,15417,54649,37.70%,18.70%
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,24.20%,%,72095,298355,28%,20.30%
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,No qualifications,National Qualifications Framework (NQF) level,36.40%,%,540423,1483593,37.50%,35.30%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,52.80%,%,19781,37429,60.60%,45.10%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Black or Black British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Other than White ,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
Unreported,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,?,%,?,?,?,?
All,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,Missing,National Qualifications Framework (NQF) level,48.50%,%,21231,43771,55.80%,41.20%
White,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,74.80%,%,12008792,16049174,75.10%,74.50%
Mixed,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,71.10%,%,171787,241499,76%,66.30%
Asian or Asian British,ONS 5+1,2017,Year,"England, Wales and Scotland ",ONS geography code,Female,Male/Female/All,16-64,Labour force age brackets,All,National Qualifications Framework (NQF) level,56.20%,%,721299,1283213,58.40%,54%
